15 comparisons, alpha 0.05   (uncorrected family-wise error ~54%)

  comparison                                   diff pt      raw p       Holm         BH  verdict
  base -> ep1000                                 +32.9   0.00e+00     0.0000     0.0000  survives Holm
  base -> ep2000                                 +32.7   0.00e+00     0.0000     0.0000  survives Holm
  base -> ep4000                                 +34.0   0.00e+00     0.0000     0.0000  survives Holm
  base -> ep500                                  +30.2   0.00e+00     0.0000     0.0000  survives Holm
  base -> full                                   +34.8   0.00e+00     0.0000     0.0000  survives Holm
  ep500 -> full                                   +4.5     0.0076     0.0763     0.0191  survives BH only
  ep4000 -> ep500                                 -3.8     0.0222     0.1994     0.0475  survives BH only
  ep1000 -> ep500                                 -2.7     0.0901     0.7210     0.1690  NOT significant
  ep2000 -> ep500                                 -2.4     0.1446     1.0000     0.2411  NOT significant
  ep2000 -> full                                  +2.1     0.1915     1.0000     0.2872  NOT significant
  ep1000 -> full                                  +1.9     0.2467     1.0000     0.3364  NOT significant
  ep2000 -> ep4000                                +1.3     0.4075     1.0000     0.5094  NOT significant
  ep1000 -> ep4000                                +1.1     0.5159     1.0000     0.5953  NOT significant
  ep4000 -> full                                  +0.8     0.6306     1.0000     0.6757  NOT significant
  ep1000 -> ep2000                                -0.3     0.9285     1.0000     0.9285  NOT significant

Report which correction you used. 'Survives Holm' is the strong claim.
