55 comparisons, alpha 0.05   (uncorrected family-wise error ~94%)

  comparison                                   diff pt      raw p       Holm         BH  verdict
  base -> correct13                              +39.4   0.00e+00     0.0000     0.0000  survives Holm
  base -> correct17                              +37.6   0.00e+00     0.0000     0.0000  survives Holm
  base -> correct23                              +35.9   0.00e+00     0.0000     0.0000  survives Holm
  base -> mixall13                               +35.7   0.00e+00     0.0000     0.0000  survives Holm
  base -> mixall17                               +34.4   0.00e+00     0.0000     0.0000  survives Holm
  base -> mixall23                               +35.7   0.00e+00     0.0000     0.0000  survives Holm
  base -> mixmatch13                             +33.7   0.00e+00     0.0000     0.0000  survives Holm
  base -> mixmatch17                             +35.1   0.00e+00     0.0000     0.0000  survives Holm
  base -> mixmatch23                             +35.1   0.00e+00     0.0000     0.0000  survives Holm
  base -> wrongonly                              +31.6   0.00e+00     0.0000     0.0000  survives Holm
  correct13 -> wrongonly                          -7.8   0.00e+00     0.0000     0.0000  survives Holm
  correct17 -> wrongonly                          -6.0   1.60e-05     0.0007     0.0001  survives Holm
  correct13 -> mixmatch13                         -5.6   9.00e-05     0.0039     0.0004  survives Holm
  correct13 -> mixall17                           -5.0     0.0003     0.0107     0.0010  survives Holm
  mixall23 -> wrongonly                           -4.2     0.0012     0.0479     0.0043  survives Holm
  mixall13 -> wrongonly                           -4.2     0.0019     0.0770     0.0064  survives BH only
  correct13 -> mixmatch23                         -4.3     0.0020     0.0777     0.0064  survives BH only
  correct13 -> mixmatch17                         -4.3     0.0024     0.0927     0.0071  survives BH only
  correct23 -> wrongonly                          -4.3     0.0024     0.0927     0.0071  survives BH only
  correct17 -> mixmatch13                         -3.9     0.0065     0.2346     0.0179  survives BH only
  correct13 -> correct23                          -3.5     0.0073     0.2570     0.0192  survives BH only
  correct13 -> mixall23                           -3.6     0.0086     0.2936     0.0210  survives BH only
  mixmatch17 -> wrongonly                         -3.5     0.0088     0.2936     0.0210  survives BH only
  correct17 -> mixall17                           -3.2     0.0116     0.3723     0.0267  survives BH only
  correct13 -> mixall13                           -3.6     0.0124     0.3845     0.0273  survives BH only
  mixmatch23 -> wrongonly                         -3.5     0.0138     0.4151     0.0293  survives BH only
  mixall17 -> wrongonly                           -2.8     0.0396     1.0000     0.0807  NOT significant
  correct17 -> mixmatch17                         -2.5     0.0756     1.0000     0.1434  NOT significant
  correct17 -> mixmatch23                         -2.5     0.0756     1.0000     0.1434  NOT significant
  mixmatch13 -> wrongonly                         -2.1     0.1174     1.0000     0.2152  NOT significant
  mixall13 -> mixmatch13                          -2.0     0.1462     1.0000     0.2512  NOT significant
  mixall23 -> mixmatch13                          -2.0     0.1462     1.0000     0.2512  NOT significant
  correct23 -> mixmatch13                         -2.1     0.1523     1.0000     0.2539  NOT significant
  correct17 -> mixall13                           -1.9     0.1702     1.0000     0.2754  NOT significant
  correct17 -> mixall23                           -1.9     0.1797     1.0000     0.2823  NOT significant
  correct13 -> correct17                          -1.7     0.2082     1.0000     0.3094  NOT significant
  correct17 -> correct23                          -1.7     0.2082     1.0000     0.3094  NOT significant
  correct23 -> mixall17                           -1.5     0.3099     1.0000     0.4486  NOT significant
  mixall13 -> mixall17                            -1.3     0.3374     1.0000     0.4489  NOT significant
  mixall17 -> mixall23                            +1.3     0.3374     1.0000     0.4489  NOT significant
  mixmatch13 -> mixmatch17                        +1.3     0.3374     1.0000     0.4489  NOT significant
  mixmatch13 -> mixmatch23                        +1.3     0.3428     1.0000     0.4489  NOT significant
  correct23 -> mixmatch23                         -0.8     0.6101     1.0000     0.7450  NOT significant
  correct23 -> mixmatch17                         -0.8     0.6208     1.0000     0.7450  NOT significant
  mixall13 -> mixmatch23                          -0.7     0.6718     1.0000     0.7450  NOT significant
  mixall23 -> mixmatch17                          -0.7     0.6718     1.0000     0.7450  NOT significant
  mixall17 -> mixmatch23                          +0.7     0.6752     1.0000     0.7450  NOT significant
  mixall13 -> mixmatch17                          -0.7     0.6785     1.0000     0.7450  NOT significant
  mixall17 -> mixmatch13                          -0.7     0.6908     1.0000     0.7450  NOT significant
  mixall17 -> mixmatch17                          +0.7     0.6908     1.0000     0.7450  NOT significant
  mixall23 -> mixmatch23                          -0.7     0.6908     1.0000     0.7450  NOT significant
  correct23 -> mixall13                           -0.1     1.0000     1.0000     1.0000  NOT significant
  correct23 -> mixall23                           -0.1     1.0000     1.0000     1.0000  NOT significant
  mixall13 -> mixall23                            +0.0     1.0000     1.0000     1.0000  NOT significant
  mixmatch17 -> mixmatch23                        +0.0     1.0000     1.0000     1.0000  NOT significant

Report which correction you used. 'Survives Holm' is the strong claim.
