10 comparisons, alpha 0.05   (uncorrected family-wise error ~40%)

  comparison                                   diff pt      raw p       Holm         BH  verdict
  base -> r16                                    +34.4   0.00e+00     0.0000     0.0000  survives Holm
  base -> r32                                    +34.8   0.00e+00     0.0000     0.0000  survives Holm
  base -> r64                                    +36.0   0.00e+00     0.0000     0.0000  survives Holm
  base -> r8                                     +33.9   0.00e+00     0.0000     0.0000  survives Holm
  r64 -> r8                                       -2.1     0.1706     1.0000     0.3413  NOT significant
  r16 -> r64                                      +1.6     0.3193     1.0000     0.5322  NOT significant
  r32 -> r64                                      +1.2     0.4635     1.0000     0.6621  NOT significant
  r32 -> r8                                       -0.9     0.5727     1.0000     0.7158  NOT significant
  r16 -> r8                                       -0.5     0.7770     1.0000     0.8439  NOT significant
  r16 -> r32                                      +0.4     0.8439     1.0000     0.8439  NOT significant

Report which correction you used. 'Survives Holm' is the strong claim.
