10 comparisons, alpha 0.05   (uncorrected family-wise error ~40%)

  comparison                                   diff pt      raw p       Holm         BH  verdict
  base -> guided                                 +34.9   0.00e+00     0.0000     0.0000  survives Holm
  base -> selfdist                               +34.1   0.00e+00     0.0000     0.0000  survives Holm
  base -> selfguided                             +37.4   0.00e+00     0.0000     0.0000  survives Holm
  base -> teachdist                              +40.4   0.00e+00     0.0000     0.0000  survives Holm
  selfdist -> teachdist                           +6.3     0.0004     0.0024     0.0008  survives Holm
  guided -> teachdist                             +5.5     0.0011     0.0053     0.0018  survives Holm
  selfdist -> selfguided                          +3.2     0.0308     0.1231     0.0440  survives BH only
  selfguided -> teachdist                         +3.1     0.0730     0.2191     0.0913  NOT significant
  guided -> selfguided                            +2.4     0.1476     0.2952     0.1640  NOT significant
  guided -> selfdist                              -0.8     0.6728     0.6728     0.6728  NOT significant

Report which correction you used. 'Survives Holm' is the strong claim.
